Legislation Number,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Subject
H.R. 1496,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 3585 South Vermont Avenue in Los Angeles, California, as the ""Marvin Gaye Post Office"".","Bass, Karen [Rep.-D-CA-37]",Democratic,2017-03-10,Government Operations and Politics
H.R. 1417,115th Congress (2017-2018),National Law Enforcement Museum Exhibits Act,"Young, Don [Rep.-R-AK-At Large]",Republican,2017-03-07,"Arts, Culture, Religion"
H.R. 1397,115th Congress (2017-2018),"To authorize, direct, facilitate, and expedite the transfer of administrative jurisdiction of certain Federal land, and for other purposes.","Comstock, Barbara [Rep.-R-VA-10]",Republican,2017-03-07,Roads and highways
H.R. 1370,115th Congress (2017-2018),"An Act to amend the Homeland Security Act of 2002 to require the Secretary of Homeland Security to issue Department of Homeland Security-wide guidance and develop training programs as part of the Department of Homeland Security Blue Campaign, and for other purposes.","McCaul, Michael T. [Rep.-R-TX-10]",Republican,2017-03-06,Computers and information technology
H.R. 1362,115th Congress (2017-2018),"To name the Department of Veterans Affairs community-based outpatient clinic in Pago Pago, American Samoa, the Faleomavaega Eni Fa'aua'a Hunkin VA Clinic.","Radewagen, Aumua Amata Coleman [Del.-R-AS-At Large]",Republican,2017-03-06,U.S. territories and protectorates
H.R. 1329,115th Congress (2017-2018),Veterans' Compensation Cost-of-Living Adjustment Act of 2017,"Bost, Mike [Rep.-R-IL-12]",Republican,2017-03-02,Veterans' pensions and compensation
H.R. 1318,115th Congress (2017-2018),Preventing Maternal Deaths Act of 2018,"Herrera Beutler, Jaime [Rep.-R-WA-3]",Republican,2017-03-02,Government information and archives
H.R. 1306,115th Congress (2017-2018),Western Oregon Tribal Fairness Act,"DeFazio, Peter A. [Rep.-D-OR-4]",Democratic,2017-03-02,Native Americans
H.R. 1301,115th Congress (2017-2018),"Continuing Appropriations Amendments Act, 2018","Frelinghuysen, Rodney P. [Rep.-R-NJ-11]",Republican,2017-03-02,Metals
H.R. 1242,115th Congress (2017-2018),400 Years of African-American History Commission Act,"Scott, Robert C. ""Bobby"" [Rep.-D-VA-3]",Democratic,2017-02-28,Commemorative events and holidays
H.R. 1238,115th Congress (2017-2018),Securing our Agriculture and Food Act,"Young, David [Rep.-R-IA-3]",Republican,2017-02-28,Veterinary medicine and animal diseases
H.R. 1235,115th Congress (2017-2018),Naismith Memorial Basketball Hall of Fame Commemorative Coin Act,"Neal, Richard E. [Rep.-D-MA-1]",Democratic,2017-02-27,"Museums, exhibitions, cultural centers"
H.R. 1228,115th Congress (2017-2018),"To provide for the appointment of members of the Board of Directors of the Office of Compliance to replace members whose terms expire during 2017, and for other purposes.","Harper, Gregg [Rep.-R-MS-3]",Republican,2017-02-27,Worker safety and health
H.R. 1222,115th Congress (2017-2018),Congenital Heart Futures Reauthorization Act of 2017,"Bilirakis, Gus M. [Rep.-R-FL-12]",Republican,2017-02-27,Health
H.R. 1211,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 400 N. Main Street, Encinal, Texas, as the ""Encinal Veterans Post Office"".","Cuellar, Henry [Rep.-D-TX-28]",Democratic,2017-02-21,"Government buildings, facilities, and property"
H.R. 1210,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 122 W. Goodwin Street, Pleasanton, Texas, as the ""Pleasanton Veterans Post Office"".","Cuellar, Henry [Rep.-D-TX-28]",Democratic,2017-02-21,Congressional tributes
H.R. 1209,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 901 N. Francisco Avenue, Mission, Texas, as the ""Mission Veterans Post Office Building"".","Cuellar, Henry [Rep.-D-TX-28]",Democratic,2017-02-21,"Government buildings, facilities, and property"
H.R. 1208,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 9155 Schaefer Road, Converse, Texas, as the ""Converse Veterans Post Office Building"".","Cuellar, Henry [Rep.-D-TX-28]",Democratic,2017-02-21,Texas
H.R. 1207,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 306 River Street in Tilden, Texas, as the ""Tilden Veterans Post Office"".","Cuellar, Henry [Rep.-D-TX-28]",Democratic,2017-02-21,Texas
H.R. 1177,115th Congress (2017-2018),Removing Outdated Restrictions to Allow for Job Growth Act,"Poliquin, Bruce [Rep.-R-ME-2]",Republican,2017-02-16,Land transfers
H.R. 1162,115th Congress (2017-2018),No Hero Left Untreated Act,"Knight, Stephen [Rep.-R-CA-25]",Republican,2017-02-16,Armed Forces and National Security
H.R. 1117,115th Congress (2017-2018),To require the Administrator of the Federal Emergency Management Agency to submit a report regarding certain plans regarding assistance to applicants and grantees during the response to an emergency or disaster.,"Hartzler, Vicky [Rep.-R-MO-4]",Republican,2017-02-16,Congressional oversight
H.R. 1109,115th Congress (2017-2018),To amend section 203 of the Federal Power Act.,"Walberg, Tim [Rep.-R-MI-7]",Republican,2017-02-16,Federal Energy Regulatory Commission (FERC)
H.R. 1074,115th Congress (2017-2018),"To repeal the Act entitled ""An Act to confer jurisdiction on the State of Iowa over offenses committed by or against Indians on the Sac and Fox Indian Reservation"".","Blum, Rod [Rep.-R-IA-1]",Republican,2017-02-15,State and local courts
H.R. 1037,115th Congress (2017-2018),"To authorize the National Emergency Medical Services Memorial Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes.","Lynch, Stephen F. [Rep.-D-MA-8]",Democratic,2017-02-14,Public Lands and Natural Resources
H.R. 984,115th Congress (2017-2018),Thomasina E. Jordan Indian Tribes of Virginia Federal Recognition Act of 2017,"Wittman, Robert J. [Rep.-R-VA-1]",Republican,2017-02-07,Federal-Indian relations
H.R. 954,115th Congress (2017-2018),"To remove the use restrictions on certain land transferred to Rockingham County, Virginia, and for other purposes.","Goodlatte, Bob [Rep.-R-VA-6]",Republican,2017-02-07,Child care and development
H.R. 951,115th Congress (2017-2018),To extend the deadline for commencement of construction of a hydroelectric project.,"Foxx, Virginia [Rep.-R-NC-5]",Republican,2017-02-07,Administrative law and regulatory procedures
H.R. 931,115th Congress (2017-2018),Firefighter Cancer Registry Act of 2018,"Collins, Chris [Rep.-R-NY-27]",Republican,2017-02-07,Worker safety and health
H.R. 873,115th Congress (2017-2018),Global War on Terrorism War Memorial Act,"Gallagher, Mike [Rep.-R-WI-8]",Republican,2017-02-06,Terrorism
H.R. 863,115th Congress (2017-2018),"To facilitate the addition of park administration at the Coltsville National Historical Park, and for other purposes.","Larson, John B. [Rep.-D-CT-1]",Democratic,2017-02-03,Connecticut
H.R. 770,115th Congress (2017-2018),American Innovation $1 Coin Act,"Himes, James A. [Rep.-D-CT-4]",Democratic,2017-01-31,Advanced technology and technological innovations
H.R. 767,115th Congress (2017-2018),SOAR to Health and Wellness Act of 2018,"Cohen, Steve [Rep.-D-TN-9]",Democratic,2017-01-31,Health promotion and preventive care
H.R. 754,115th Congress (2017-2018),Anwar Sadat Centennial Celebration Act,"Stewart, Chris [Rep.-R-UT-2]",Republican,2017-01-31,Arab-Israeli relations
H.R. 699,115th Congress (2017-2018),Mount Hood Cooper Spur Land Exchange Clarification Act,"Walden, Greg [Rep.-R-OR-2]",Republican,2017-01-24,Public Lands and Natural Resources
H.R. 698,115th Congress (2017-2018),Elkhorn Ranch and White River National Forest Conveyance Act of 2017,"Tipton, Scott  R. [Rep.-R-CO-3]",Republican,2017-01-24,Land transfers
H.R. 672,115th Congress (2017-2018),Combating European Anti-Semitism Act of 2017,"Lowey, Nita M. [Rep.-D-NY-17]",Democratic,2017-01-24,International organizations and cooperation
H.R. 657,115th Congress (2017-2018),Follow the Rules Act,"Duffy, Sean P. [Rep.-R-WI-7]",Republican,2017-01-24,Administrative law and regulatory procedures
H.R. 624,115th Congress (2017-2018),Social Security Number Fraud Prevention Act of 2017,"Valadao, David G. [Rep.-R-CA-21]",Republican,2017-01-24,Government Operations and Politics
H.R. 609,115th Congress (2017-2018),"To designate the Department of Veterans Affairs health care center in Center Township, Butler County, Pennsylvania, as the ""Abie Abraham VA Clinic"".","Kelly, Mike [Rep.-R-PA-3]",Republican,2017-01-23,Military personnel and dependents
H.R. 606,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 1025 Nevin Avenue in Richmond, California, as the ""Harold D. McCraw, Sr., Post Office Building"".","DeSaulnier, Mark [Rep.-D-CA-11]",Democratic,2017-01-23,Government Operations and Politics
H.R. 601,115th Congress (2017-2018),"Continuing Appropriations Act, 2018 and Supplemental Appropriations for Disaster Relief Requirements Act, 2017","Lowey, Nita M. [Rep.-D-NY-17]",Democratic,2017-01-23,National Institutes of Health (NIH)
H.R. 589,115th Congress (2017-2018),Department of Energy Research and Innovation Act,"Smith, Lamar [Rep.-R-TX-21]",Republican,2017-01-20,Computers and information technology
H.R. 582,115th Congress (2017-2018),Kari's Law Act of 2017,"Gohmert, Louie [Rep.-R-TX-1]",Republican,2017-01-17,Emergency communications systems
H.R. 560,115th Congress (2017-2018),"To amend the Delaware Water Gap National Recreation Area Improvement Act to provide access to certain vehicles serving residents of municipalities adjacent to the Delaware Water Gap National Recreation Area, and for other purposes.","Marino, Tom [Rep.-R-PA-10]",Republican,2017-01-13,User charges and fees
H.R. 535,115th Congress (2017-2018),Taiwan Travel Act,"Chabot, Steve [Rep.-R-OH-1]",Republican,2017-01-13,Asia
H.R. 534,115th Congress (2017-2018),U.S. Wants to Compete for a World Expo Act,"Emmer, Tom [Rep.-R-MN-6]",Republican,2017-01-13,"Museums, exhibitions, cultural centers"
H.R. 518,115th Congress (2017-2018),EPS Improvement Act of 2017,"DeGette, Diana [Rep.-D-CO-1]",Democratic,2017-01-13,Lighting and heating
H.R. 510,115th Congress (2017-2018),Rapid DNA Act of 2017,"Sensenbrenner, F. James, Jr. [Rep.-R-WI-5]",Republican,2017-01-12,Administrative law and regulatory procedures
H.R. 452,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 324 West Saint Louis Street in Pacific, Missouri, as the ""Specialist Jeffrey L. White, Jr. Post Office"".","Luetkemeyer, Blaine [Rep.-R-MO-3]",Republican,2017-01-11,Missouri
H.R. 447,115th Congress (2017-2018),To extend the deadline for commencement of construction of a hydroelectric project.,"Griffith, H. Morgan [Rep.-R-VA-9]",Republican,2017-01-11,Administrative law and regulatory procedures
H.R. 446,115th Congress (2017-2018),To extend the deadline for commencement of construction of a hydroelectric project.,"Griffith, H. Morgan [Rep.-R-VA-9]",Republican,2017-01-11,Licensing and registrations
H.R. 390,115th Congress (2017-2018),Iraq and Syria Genocide Relief and Accountability Act of 2018,"Smith, Christopher H. [Rep.-R-NJ-4]",Republican,2017-01-10,Foreign aid and international relief
H.R. 381,115th Congress (2017-2018),"To designate a mountain in the John Muir Wilderness of the Sierra National Forest as ""Sky Point"".","McClintock, Tom [Rep.-R-CA-4]",Republican,2017-01-09,Public Lands and Natural Resources
H.R. 375,115th Congress (2017-2018),"To designate the Federal building and United States courthouse located at 719 Church Street in Nashville, Tennessee, as the ""Fred D. Thompson Federal Building and United States Courthouse"".","Blackburn, Marsha [Rep.-R-TN-7]",Republican,2017-01-09,Congressional tributes
H.R. 374,115th Congress (2017-2018),"To remove the sunset provision of section 203 of Public Law 105-384, and for other purposes.","Herrera Beutler, Jaime [Rep.-R-WA-3]",Republican,2017-01-09,California
H.R. 366,115th Congress (2017-2018),DHS SAVE Act,"Perry, Scott [Rep.-R-PA-4]",Republican,2017-01-06,"Government buildings, facilities, and property"
H.R. 353,115th Congress (2017-2018),Weather Research and Forecasting Innovation Act of 2017,"Lucas, Frank D. [Rep.-R-OK-3]",Republican,2017-01-06,Student aid and college costs
H.R. 339,115th Congress (2017-2018),Northern Mariana Islands Economic Expansion Act,"Sablan, Gregorio Kilili Camacho [Del.-D-MP-At Large]",Democratic,2017-01-05,Immigration
H.R. 321,115th Congress (2017-2018),"Inspiring the Next Space Pioneers, Innovators, Researchers, and Explorers (INSPIRE) Women Act","Comstock, Barbara [Rep.-R-VA-10]",Republican,2017-01-05,"Science, Technology, Communications"
H.R. 315,115th Congress (2017-2018),Improving Access to Maternity Care Act,"Burgess, Michael C. [Rep.-R-TX-26]",Republican,2017-01-05,Women's health
H.R. 304,115th Congress (2017-2018),Protecting Patient Access to Emergency Medications Act of 2017,"Hudson, Richard [Rep.-R-NC-8]",Republican,2017-01-05,Health personnel
H.R. 302,115th Congress (2017-2018),FAA Reauthorization Act of 2018,"Guthrie, Brett [Rep.-R-KY-2]",Republican,2017-01-05,Elementary and secondary education
H.R. 294,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 2700 Cullen Boulevard in Pearland, Texas, as the ""Endy Nddiobong Ekpanya Post Office Building"".","Olson, Pete [Rep.-R-TX-22]",Republican,2017-01-05,Texas
H.R. 274,115th Congress (2017-2018),Modernizing Government Travel Act,"Moulton, Seth [Rep.-D-MA-6]",Democratic,2017-01-04,Transportation costs
H.R. 267,115th Congress (2017-2018),"Martin Luther King, Jr. National Historical Park Act of 2017","Lewis, John [Rep.-D-GA-5]",Democratic,2017-01-04,Georgia
H.R. 255,115th Congress (2017-2018),Promoting Women in Entrepreneurship Act,"Esty, Elizabeth H. [Rep.-D-CT-5]",Democratic,2017-01-04,"Science, Technology, Communications"
H.R. 244,115th Congress (2017-2018),"Consolidated Appropriations Act, 2017","Cook, Paul [Rep.-R-CA-8]",Republican,2017-01-04,Human trafficking
H.R. 228,115th Congress (2017-2018),"Indian Employment, Training and Related Services Consolidation Act of 2017","Young, Don [Rep.-R-AK-At Large]",Republican,2017-01-03,Administrative remedies
H.R. 220,115th Congress (2017-2018),"To authorize the expansion of an existing hydroelectric project, and for other purposes.","Young, Don [Rep.-R-AK-At Large]",Republican,2017-01-03,Alaska
H.R. 219,115th Congress (2017-2018),Swan Lake Hydroelectric Project Boundary Correction Act,"Young, Don [Rep.-R-AK-At Large]",Republican,2017-01-03,Alaska
H.R. 195,115th Congress (2017-2018),"Making further continuing appropriations for the fiscal year ending September 30, 2018, and for other purposes.","Russell, Steve [Rep.-R-OK-5]",Republican,2017-01-03,Right of privacy
H.R. 194,115th Congress (2017-2018),Federal Agency Mail Management Act of 2017,"Russell, Steve [Rep.-R-OK-5]",Republican,2017-01-03,Government Operations and Politics
H.R. 72,115th Congress (2017-2018),GAO Access and Oversight Act of 2017,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",Republican,2017-01-03,Government studies and investigations
H.R. 46,115th Congress (2017-2018),Fort Ontario Study Act,"Katko, John [Rep.-R-NY-24]",Republican,2017-01-03,Historic sites and heritage areas
H.R. 39,115th Congress (2017-2018),TALENT Act of 2017,"McCarthy, Kevin [Rep.-R-CA-23]",Republican,2017-01-03,Product development and innovation
H.R. 6,115th Congress (2017-2018),SUPPORT for Patients and Communities Act,"Walden, Greg [Rep.-R-OR-2]",Republican,2018-06-13,Women's health
H.R. 2,115th Congress (2017-2018),Agriculture Improvement Act of 2018,"Conaway, K. Michael [Rep.-R-TX-11]",Republican,2018-04-12,Agricultural education
H.R. 1,115th Congress (2017-2018),An Act to provide for reconciliation pursuant to titles II and V of the concurrent resolution on the budget for fiscal year 2018.,"Brady, Kevin [Rep.-R-TX-8]",Republican,2017-11-02,Adoption and foster care
H.J.Res. 143,115th Congress (2017-2018),"Making further continuing appropriations for fiscal year 2019, and for other purposes.","Frelinghuysen, Rodney P. [Rep.-R-NJ-11]",Republican,2018-12-03,Crimes against women
H.J.Res. 123,115th Congress (2017-2018),"Making further continuing appropriations for fiscal year 2018, and for other purposes.","Frelinghuysen, Rodney P. [Rep.-R-NJ-11]",Republican,2017-12-04,Appropriations
H.J.Res. 111,115th Congress (2017-2018),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by Bureau of Consumer Financial Protection relating to ""Arbitration Agreements"".","Rothfus, Keith J. [Rep.-R-PA-12]",Republican,2017-07-20,Business records
H.J.Res. 99,115th Congress (2017-2018),"Making further continuing appropriations for fiscal year 2017, and for other purposes.","Frelinghuysen, Rodney P. [Rep.-R-NJ-11]",Republican,2017-04-26,Appropriations
H.J.Res. 83,115th Congress (2017-2018),"Disapproving the rule submitted by the Department of Labor relating to ""Clarification of Employer's Continuing Obligation to Make and Maintain an Accurate Record of Each Recordable Injury and Illness"".","Byrne, Bradley [Rep.-R-AL-1]",Republican,2017-02-21,Labor and Employment
H.J.Res. 76,115th Congress (2017-2018),"Granting the consent and approval of Congress for the Commonwealth of Virginia, the State of Maryland, and the District of Columbia to enter into a compact relating to the establishment of the Washington Metrorail Safety Commission.","Hoyer, Steny H. [Rep.-D-MD-5]",Democratic,2017-02-16,Virginia
H.J.Res. 69,115th Congress (2017-2018),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to ""Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska"".","Young, Don [Rep.-R-AK-At Large]",Republican,2017-02-07,Public Lands and Natural Resources
H.J.Res. 67,115th Congress (2017-2018),Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by qualified State political subdivisions for non-governmental employees.,"Rooney, Francis [Rep.-R-FL-19]",Republican,2017-02-07,Administrative law and regulatory procedures
H.J.Res. 66,115th Congress (2017-2018),Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.,"Walberg, Tim [Rep.-R-MI-7]",Republican,2017-02-07,Department of Labor
H.J.Res. 58,115th Congress (2017-2018),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to teacher preparation issues.","Guthrie, Brett [Rep.-R-KY-2]",Republican,2017-02-01,Performance measurement
H.J.Res. 57,115th Congress (2017-2018),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to accountability and State plans under the Elementary and Secondary Education Act of 1965.","Rokita, Todd [Rep.-R-IN-4]",Republican,2017-02-01,Academic performance and assessments
H.J.Res. 44,115th Congress (2017-2018),"Disapproving the rule submitted by the Department of the Interior relating to Bureau of Land Management regulations that establish the procedures used to prepare, revise, or amend land use plans pursuant to the Federal Land Policy and Management Act of 1976.","Cheney, Liz [Rep.-R-WY-At Large]",Republican,2017-01-30,Public Lands and Natural Resources
H.J.Res. 43,115th Congress (2017-2018),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients.","Black, Diane [Rep.-R-TN-6]",Republican,2017-01-30,Health care coverage and access
H.J.Res. 42,115th Congress (2017-2018),Disapproving the rule submitted by the Department of Labor relating to drug testing of unemployment compensation applicants.,"Brady, Kevin [Rep.-R-TX-8]",Republican,2017-01-30,Congressional oversight
H.J.Res. 41,115th Congress (2017-2018),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to ""Disclosure of Payments by Resource Extraction Issuers"".","Huizenga, Bill [Rep.-R-MI-2]",Republican,2017-01-30,Government information and archives
H.J.Res. 40,115th Congress (2017-2018),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Social Security Administration relating to Implementation of the NICS Improvement Amendments Act of 2007.","Johnson, Sam [Rep.-R-TX-3]",Republican,2017-01-30,Administrative law and regulatory procedures
H.J.Res. 38,115th Congress (2017-2018),Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,"Johnson, Bill [Rep.-R-OH-6]",Republican,2017-01-30,Congressional oversight
H.J.Res. 37,115th Congress (2017-2018),"Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.","Foxx, Virginia [Rep.-R-NC-5]",Republican,2017-01-30,National Aeronautics and Space Administration
S. 3777,115th Congress (2017-2018),Forever GI Bill Housing Payment Fulfillment Act of 2018,"Boozman, John [Sen.-R-AR]",Republican,2018-12-18,Armed Forces and National Security
S. 3749,115th Congress (2017-2018),Congressional Accountability Act of 1995 Reform Act,"Klobuchar, Amy [Sen.-D-MN]",Democratic,2018-12-13,Congress
S. 3661,115th Congress (2017-2018),75th Anniversary of World War II Commemoration Act,"Inhofe, James M. [Sen.-R-OK]",Republican,2018-11-27,Armed Forces and National Security
S. 3628,115th Congress (2017-2018),National Flood Insurance Program Extension Act,"Kennedy, John [Sen.-R-LA]",Republican,2018-11-15,Disaster relief and insurance
S. 3554,115th Congress (2017-2018),A bill to extend the effective date for the sunset for collateral requirements for Small Business Administration disaster loans.,"Kennedy, John [Sen.-R-LA]",Republican,2018-10-05,Commerce
S. 3530,115th Congress (2017-2018),Museum and Library Services Act of 2018,"Reed, Jack [Sen.-D-RI]",Democratic,2018-09-28,Adult education and literacy
S. 3509,115th Congress (2017-2018),Congressional Award Program Reauthorization Act of 2018,"Enzi, Michael B. [Sen.-R-WY]",Republican,2018-09-26,Congress
S. 3508,115th Congress (2017-2018),Save Our Seas Act of 2018,"Sullivan, Dan [Sen.-R-AK]",Republican,2018-09-26,Accidents
S. 3479,115th Congress (2017-2018),Department of Veterans Affairs Expiring Authorities Act of 2018,"Isakson, Johnny [Sen.-R-GA]",Republican,2018-09-18,Armed Forces and National Security
S. 3456,115th Congress (2017-2018),"A bill to redesignate Hobe Sound National Wildlife Refuge as the Nathaniel P. Reed Hobe Sound National Wildlife Refuge, and for other purposes.","Nelson, Bill [Sen.-D-FL]",Democratic,2018-09-18,Public Lands and Natural Resources
S. 3444,115th Congress (2017-2018),"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in Lake Charles, Louisiana, as the ""Douglas Fournet Department of Veterans Affairs Clinic"".","Cassidy, Bill [Sen.-R-LA]",Republican,2018-09-17,Louisiana
S. 3442,115th Congress (2017-2018),"A bill to designate the facility of the United States Postal Service located at 105 Duff Street in Macon, Missouri, as the ""Arla W. Harrell Post Office"".","McCaskill, Claire [Sen.-D-MO]",Democratic,2018-09-17,Missouri
S. 3414,115th Congress (2017-2018),"A bill to designate the facility of the United States Postal Service located at 20 Ferry Road in Saunderstown, Rhode Island, as the ""Captain Matthew J. August Post Office"".","Reed, Jack [Sen.-D-RI]",Democratic,2018-09-06,Government Operations and Politics
S. 3389,115th Congress (2017-2018),A bill to redesignate a facility of the National Aeronautics and Space Administration.,"Capito, Shelley Moore [Sen.-R-WV]",Republican,2018-08-27,Congressional tributes
S. 3367,115th Congress (2017-2018),Department of Transportation Reports Harmonization Act,"Thune, John [Sen.-R-SD]",Republican,2018-08-22,Transportation and Public Works
S. 3354,115th Congress (2017-2018),Missing Children's Assistance Act of 2018,"Grassley, Chuck [Sen.-R-IA]",Republican,2018-08-16,Adoption and foster care
S. 3247,115th Congress (2017-2018),Women's Entrepreneurship and Economic Empowerment Act of 2018,"Boozman, John [Sen.-R-AR]",Republican,2018-07-19,International Affairs
S. 3237,115th Congress (2017-2018),"A bill to designate the facility of the United States Postal Service located at 120 12th Street Lobby in Columbus, Georgia, as the ""Richard W. Williams, Jr., Chapter of the Triple Nickles (555th P.I.A.) Post Office"".","Perdue, David [Sen.-R-GA]",Republican,2018-07-18,Government Operations and Politics
S. 3209,115th Congress (2017-2018),"A bill to designate the facility of the United States Postal Service located at 413 Washington Avenue in Belleville, New Jersey, as the ""Private Henry Svehla Post Office Building"".","Menendez, Robert [Sen.-D-NJ]",Democratic,2018-07-12,Government Operations and Politics
S. 3191,115th Congress (2017-2018),Civil Rights Cold Case Records Collection Act of 2018,"Jones, Doug [Sen.-D-AL]",Democratic,2018-07-10,Congressional oversight
S. 3170,115th Congress (2017-2018),CyberTipline Modernization Act of 2018,"Cornyn, John [Sen.-R-TX]",Republican,2018-06-28,Civil actions and liability
S. 3119,115th Congress (2017-2018),Endangered Salmon Predation Prevention Act,"Risch, James E. [Sen.-R-ID]",Republican,2018-06-21,Endangered and threatened species
S. 3031,115th Congress (2017-2018),Federal Personal Property Management Act of 2018,"Peters, Gary C. [Sen.-D-MI]",Democratic,2018-06-07,Government Operations and Politics
S. 3029,115th Congress (2017-2018),PREEMIE Reauthorization Act of 2018,"Alexander, Lamar [Sen.-R-TN]",Republican,2018-06-07,Health
S. 3021,115th Congress (2017-2018),America's Water Infrastructure Act of 2018,"Klobuchar, Amy [Sen.-D-MN]",Democratic,2018-06-07,Administrative law and regulatory procedures
S. 2961,115th Congress (2017-2018),Victims of Child Abuse Act Reauthorization Act of 2018,"Blunt, Roy [Sen.-R-MO]",Republican,2018-05-24,Crime and Law Enforcement
S. 2946,115th Congress (2017-2018),Anti-Terrorism Clarification Act of 2018,"Grassley, Chuck [Sen.-R-IA]",Republican,2018-05-24,Crime and Law Enforcement
S. 2896,115th Congress (2017-2018),Justice Against Corruption on K Street Act of 2018,"Kennedy, John [Sen.-R-LA]",Republican,2018-05-22,Crimes against property
S. 2850,115th Congress (2017-2018),A bill to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to clarify the use of amounts in the WMAT Settlement Fund.,"Flake, Jeff [Sen.-R-AZ]",Republican,2018-05-15,Arizona
S. 2779,115th Congress (2017-2018),Zimbabwe Democracy and Economic Recovery Amendment Act of 2018,"Flake, Jeff [Sen.-R-AZ]",Republican,2018-04-26,Property rights
S. 2765,115th Congress (2017-2018),RBIC Advisers Relief Act of 2018,"Kennedy, John [Sen.-R-LA]",Republican,2018-04-26,Finance and Financial Sector
S. 2736,115th Congress (2017-2018),Asia Reassurance Initiative Act of 2018,"Gardner, Cory [Sen.-R-CO]",Republican,2018-04-24,"Military assistance, sales, and agreements"
S. 2734,115th Congress (2017-2018),"A bill to designate the Federal building and United States courthouse located at 1300 Victoria Street in Laredo, Texas, as the ""George P. Kazen Federal Building and United States Courthouse"".","Cornyn, John [Sen.-R-TX]",Republican,2018-04-24,Congressional tributes
S. 2692,115th Congress (2017-2018),"A bill to designate the facility of the United States Postal Service located at 4558 Broadway in New York, New York, as the ""Stanley Michels Post Office Building"".","Gillibrand, Kirsten E. [Sen.-D-NY]",Democratic,2018-04-18,Congressional tributes
S. 2679,115th Congress (2017-2018),Veterans Small Business Enhancement Act of 2018,"Duckworth, Tammy [Sen.-D-IL]",Democratic,2018-04-16,Commerce
S. 2652,115th Congress (2017-2018),Stephen Michael Gleason Congressional Gold Medal Act,"Cassidy, Bill [Sen.-R-LA]",Republican,2018-04-11,Sports and Recreation
S. 2559,115th Congress (2017-2018),Marrakesh Treaty Implementation Act,"Grassley, Chuck [Sen.-R-IA]",Republican,2018-03-15,Books and print media
S. 2554,115th Congress (2017-2018),Patient Right to Know Drug Prices Act,"Collins, Susan M. [Sen.-R-ME]",Republican,2018-03-14,Health
S. 2553,115th Congress (2017-2018),Know the Lowest Price Act of 2018,"Stabenow, Debbie [Sen.-D-MI]",Democratic,2018-03-14,Health
S. 2511,115th Congress (2017-2018),CENOTE Act of 2018,"Wicker, Roger F. [Sen.-R-MS]",Republican,2018-03-07,Transportation and Public Works
S. 2465,115th Congress (2017-2018),"Sickle Cell Disease and Other Heritable Blood Disorders Research, Surveillance, Prevention, and Treatment Act of 2018","Scott, Tim [Sen.-R-SC]",Republican,2018-02-28,Medical research
S. 2377,115th Congress (2017-2018),"A bill to designate the Federal building and United States courthouse located at 200 West 2nd Street in Dayton, Ohio, as the ""Walter H. Rice Federal Building and United States Courthouse"".","Brown, Sherrod [Sen.-D-OH]",Democratic,2018-02-06,Congressional tributes
S. 2372,115th Congress (2017-2018),VA MISSION Act of 2018,"Isakson, Johnny [Sen.-R-GA]",Republican,2018-02-05,Dental care
S. 2278,115th Congress (2017-2018),State Offices of Rural Health Reauthorization Act of 2018,"Roberts, Pat [Sen.-R-KS]",Republican,2018-01-04,Health
S. 2276,115th Congress (2017-2018),GAO-IG Act,"Young, Todd [Sen.-R-IN]",Republican,2018-01-04,Government Operations and Politics
